Cr1             0.00000000   -0.14258222   -0.07483789    4.9247    3.7821
Cr2            -0.00000000    0.14258222    6.24483789    4.9251    3.7814
Cr3             1.96699985    3.54952624    0.07483789    4.9255    3.7821
Cr4             1.96699985    3.26436181    6.09516211    4.9250    3.7823
Cr5             1.96699985   -3.26436181    0.07483789    4.9258    3.7819
Cr6             1.96699985   -3.54952624    6.09516211    4.9252    3.7821
Cr7             3.93399970   -0.14258222   -0.07483789    4.9252    3.7820
Cr8             3.93399970    0.14258222    6.24483789    4.9250    3.7820
Cr9             0.00000000    0.00000000    3.08500000    5.0369    3.9429
Cr10            1.96699985    3.40694402    9.25500000    5.0362    3.9429
Cr11            1.96699985   -3.40694402    9.25500000    5.0371    3.9421
Cr12            3.93399970    0.00000000    3.08500000    5.0360    3.9426
Cr1 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr2 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr3 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr4 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr5 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr6 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr7 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr8 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr9 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr10 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr11 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr12 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
   Cr9   Cr5   ( -1,   0,   0)  4.5515   (-1.967,  3.550, -3.010)  5.053 
   Cr2   Cr10  (  0,  -1,   0)  4.5862   (-1.967, -3.550,  3.010)  5.053 
   Cr5   Cr12  (  0,  -1,   0)  4.6935   (-1.967, -3.550,  3.010)  5.053 
   Cr2   Cr11  (  0,   0,   0)  4.6436   ( 1.967, -3.550,  3.010)  5.053 
   Cr11  Cr2   (  0,   0,   0)  4.6436   (-1.967,  3.550, -3.010)  5.053 
   Cr10  Cr2   (  0,   1,   0)  4.5862   ( 1.967,  3.550, -3.010)  5.053 
   Cr12  Cr5   (  0,   1,   0)  4.6935   ( 1.967,  3.550, -3.010)  5.053 
   Cr5   Cr9   (  1,   0,   0)  4.5515   ( 1.967, -3.550,  3.010)  5.053 
   Cr8   Cr10  (  1,   0,   0)  4.6640   ( 1.967, -3.550,  3.010)  5.053 
   Cr8   Cr11  (  0,   0,   0)  4.7270   (-1.967, -3.550,  3.010)  5.053 
   Cr11  Cr8   (  0,   0,   0)  4.7270   ( 1.967,  3.550, -3.010)  5.053 
   Cr7   Cr11  (  0,   1,  -1)  4.6370   ( 1.967,  3.550, -3.010)  5.053 
   Cr4   Cr12  ( -1,   0,   0)  4.6941   (-1.967,  3.550, -3.010)  5.053 
   Cr9   Cr4   (  0,  -1,   0)  4.6911   (-1.967, -3.550,  3.010)  5.053 
   Cr3   Cr9   (  0,   0,   0)  4.5970   (-1.967, -3.550,  3.010)  5.053 
   Cr3   Cr12  (  0,   0,   0)  4.6109   ( 1.967, -3.550,  3.010)  5.053 
   Cr9   Cr3   (  0,   0,   0)  4.5970   ( 1.967,  3.550, -3.010)  5.053 
   Cr12  Cr3   (  0,   0,   0)  4.6109   (-1.967,  3.550, -3.010)  5.053 
   Cr4   Cr9   (  0,   1,   0)  4.6911   ( 1.967,  3.550, -3.010)  5.053 
   Cr12  Cr4   (  1,   0,   0)  4.6941   ( 1.967, -3.550,  3.010)  5.053 
   Cr1   Cr10  (  0,   0,  -1)  4.7128   ( 1.967,  3.550, -3.010)  5.053 
   Cr1   Cr11  ( -1,   0,  -1)  4.6129   (-1.967,  3.550, -3.010)  5.053 
   Cr10  Cr1   (  0,   0,   1)  4.7128   (-1.967, -3.550,  3.010)  5.053 
   Cr11  Cr7   (  0,  -1,   1)  4.6370   (-1.967, -3.550,  3.010)  5.053 
   Cr11  Cr1   (  1,   0,   1)  4.6129   ( 1.967, -3.550,  3.010)  5.053 
   Cr6   Cr12  (  0,   0,   0)  4.6408   ( 1.967,  3.550, -3.010)  5.053 
   Cr12  Cr6   (  0,   0,   0)  4.6408   (-1.967, -3.550,  3.010)  5.053 
   Cr7   Cr10  (  0,   0,  -1)  4.6512   (-1.967,  3.550, -3.010)  5.053 
   Cr10  Cr7   (  0,   0,   1)  4.6512   ( 1.967, -3.550,  3.010)  5.053 
   Cr6   Cr9   (  0,   0,   0)  4.7088   (-1.967,  3.550, -3.010)  5.053 
   Cr9   Cr6   (  0,   0,   0)  4.7088   ( 1.967, -3.550,  3.010)  5.053 
   Cr1   Cr2   (  0,   0,  -1) -0.2132   (-0.000,  0.285, -6.020)  6.027 
   Cr7   Cr8   (  0,   0,  -1) -0.1981   ( 0.000,  0.285, -6.020)  6.027 
